time (s),B_wave,Magnitude
0.0,0.03183704040680757,1.2348033
2.8571427e-05,0.013529400819093595,1.2292849
5.7142854e-05,-0.005645376975238037,1.2241051
8.571429e-05,-0.02580501120813672,1.2199498
0.00011428571,-0.044567903243490914,1.2150239
0.00014285714,-0.06333655168100596,1.2083385
0.00017142858,-0.08100635574700932,1.2012255
0.0002,-0.09360795942532896,1.1912652
0.00022857141,-0.10202508016939138,1.1806141
0.00025714285,-0.10615493188437597,1.1706362
0.00028571428,-0.10571425023658199,1.1573263
0.00031428572,-0.10155899221609288,1.1454986
0.00034285715,-0.09385908243137608,1.1360455
0.00037142858,-0.08263366588965343,1.1251214
0.0004,-0.06934765747172944,1.1182708
0.00042857142,-0.05267804533598475,1.1140672
0.00045714283,-0.033578951158191206,1.1107932
0.00048571426,-0.01398742888924387,1.1081738
0.0005142857,0.005408807208343358,1.1054473
0.00054285716,0.0241066911556862,1.1025292
0.00057142857,0.041498165197666026,1.1007797
0.00059999997,0.058304077343005634,1.0973018
0.00062857143,0.07267603921284449,1.0906738
0.0006571428,0.0827041649861302,1.0829177
0.0006857143,0.08880910775686734,1.0766869
0.00071428565,0.09057993915078999,1.0698062
0.00074285717,0.08829243651504015,1.0604217
0.0007714285,0.08300371037587007,1.0541906
0.0008,0.0721063835407646,1.0515171
0.00082857144,0.056940209685566026,1.048326
0.00085714285,0.04001584313214246,1.0495403
0.0008857143,0.01882277021454204,1.0553914
0.00091428566,-0.006282228890963193,1.0606166
0.0009428571,-0.0303497798794079,1.0685345
0.0009714285,-0.052965753794296244,1.0776151
0.001,-0.07620641833819342,1.085196
0.0010285714,-0.09631605156819711,1.0935817
0.0010571429,-0.11206045238010864,1.1013201
0.0010857143,-0.12516993383568664,1.1039205
0.0011142856,-0.13172405395661713,1.1056408
0.0011428571,-0.13299782501774038,1.1088858
0.0011714286,-0.13055357485330488,1.1123322
0.0011999999,-0.12193110950035146,1.1148925
0.0012285713,-0.10811868619846998,1.1181923
0.0012571429,-0.09283755727888199,1.1250753
0.0012857143,-0.07344906116406863,1.1360475
0.0013142856,-0.048685565874875714,1.1487845
0.0013428571,-0.023006698240023216,1.1612384
0.0013714286,0.0025282467801512887,1.176281
0.0014,0.028383831995714814,1.1937914
0.0014285713,0.05454204667515672,1.2097754
0.0014571429,0.08137549373064346,1.2255082
0.0014857143,0.10750399283851664,1.2391218
0.0015142856,0.13003505865008108,1.2500672
0.001542857,0.1485893641636684,1.258448
0.0015714286,0.16483609524058984,1.2625558
0.0016,0.17707967384911338,1.2624688
0.0016285713,0.184110790987015,1.2630742
0.0016571429,0.18646686772520082,1.2598425
0.0016857142,0.18582660695484465,1.2546413
0.0017142857,0.1771216246398697,1.2504915
0.001742857,0.16158856541698774,1.2482632
0.0017714286,0.1429667793455561,1.2483406
0.0018,0.11919004075579476,1.2504541
0.0018285713,0.08947570789861103,1.255157
0.0018571428,0.056135517457369666,1.2613276
0.0018857142,0.019150506323928784,1.2662389
0.0019142857,-0.018631508982471345,1.272058
0.001942857,-0.05528405769013123,1.2771155
0.0019714285,-0.09199601405586844,1.2778803
0.002,-0.12521851172160048,1.2752875
0.0020285714,-0.15287876168413295,1.2701148
0.0020571428,-0.1793503195844215,1.2595861
0.0020857144,-0.19987612495987328,1.2470295
0.0021142857,-0.21104450579395007,1.2307801
0.0021428568,-0.21789294367451095,1.2103689
0.0021714286,-0.2167417445046067,1.1896652
0.0022,-0.20630909126378727,1.1688408
0.002228571,-0.1920893457884456,1.1476477
0.002257143,-0.17452345244469702,1.1263282
0.0022857143,-0.15161735120653785,1.1047043
0.0023142854,-0.12629975482281197,1.0862627
0.0023428572,-0.09708970534362216,1.0708727
0.0023714285,-0.06540285136787283,1.0533819
0.0023999999,-0.03643910570387687,1.0363485
0.0024285715,-0.006696778112316615,1.0186111
0.0024571426,0.024106227728474927,0.99930364
0.0024857144,0.05052586706081508,0.9815288
0.0025142857,0.07478318718929389,0.9605801
0.0025428568,0.09845858215467473,0.9365386
0.0025714287,0.1185153240417276,0.91194296
0.0026,0.13504166287243136,0.88390595
0.0026285711,0.14752722875642466,0.85474795
0.002657143,0.15474469062110519,0.82547903
0.0026857143,0.16056047969602272,0.7945732
0.0027142856,0.16312914753847396,0.7651359
0.0027428572,0.16032811081257692,0.73655957
0.0027714283,0.1547964813347904,0.707076
0.0028,0.1466875850794906,0.681815
0.0028285715,0.13561492248256524,0.6600893
0.0028571426,0.12004873944685368,0.6364674
0.0028857142,0.10192424081873974,0.61226517
0.0029142858,0.08159114382821109,0.5882536
0.0029428569,0.05945106006246825,0.56485206
0.0029714287,0.03561896379302443,0.54241127
0.003,0.013961250778911971,0.51734036
0.0030285711,-0.006510331287768012,0.48993167
0.003057143,-0.027906052271042148,0.46603578
0.003085714,-0.04783794050950663,0.44246212
0.0031142856,-0.06530900840763687,0.41958222
0.0031428572,-0.08066027132840348,0.39958206
0.0031714283,-0.09312001873501408,0.38348874
0.0032,-0.10023158357638484,0.36877632
0.0032285715,-0.1033923321673039,0.35450214
0.0032571426,-0.10425792000539115,0.34182277
0.0032857142,-0.10122812231793316,0.33113328
0.0033142858,-0.0936207440104202,0.32095143
0.003342857,-0.0817086782814016,0.3102624
0.0033714285,-0.06720724210022633,0.30191728
0.0033999998,-0.05097430360473143,0.29350132
0.0034285714,-0.03306736666289972,0.28331846
