time (s),B_wave,Magnitude
0.0,0.048832578458662734,0.39717415
2.8571427e-05,0.07378486042758747,0.4022717
5.7142854e-05,0.0970995921875345,0.4084774
8.571429e-05,0.11750588427700914,0.4118243
0.00011428571,0.13966550989436116,0.4146044
0.00014285714,0.16273249941474738,0.41798005
0.00017142858,0.18183189665517158,0.41961303
0.0002,0.19918858738758582,0.41865137
0.00022857141,0.21556970154344718,0.419219
0.00025714285,0.2315298281901649,0.42159224
0.00028571428,0.2449197452720595,0.42185876
0.00031428572,0.2540261922084666,0.41994363
0.00034285715,0.26100592337121764,0.41905314
0.00037142858,0.2677770131650553,0.41969413
0.0004,0.26912528311518613,0.41856888
0.00042857142,0.26517381350807545,0.41618326
0.00045714283,0.26144525971619587,0.41592866
0.00048571426,0.2554787189365143,0.41613117
0.0005142857,0.24433438487234815,0.41510302
0.00054285716,0.22964826836745933,0.4131878
0.00057142857,0.21372922137839356,0.41263756
0.00059999997,0.19585779250602153,0.41235724
0.00062857143,0.17597974884478582,0.41147026
0.0006571428,0.15234142166796416,0.40997833
0.0006857143,0.12702296817703185,0.40969875
0.00071428565,0.10288580239772549,0.41030878
0.00074285717,0.07811204132918681,0.40981525
0.0007714285,0.05099572514482678,0.40674603
0.0008,0.02347339795672576,0.4044059
0.00082857144,-0.003409631529139423,0.40249345
0.00085714285,-0.031125795365618214,0.39837793
0.0008857143,-0.05644372693780708,0.39563978
0.00091428566,-0.08027613864057637,0.39212552
0.0009428571,-0.10579448094066157,0.38673332
0.0009714285,-0.129808329915799,0.38077015
0.001,-0.14944594631123803,0.37593004
0.0010285714,-0.16769380718194,0.3710182
0.0010571429,-0.18448108786417583,0.36473337
0.0010857143,-0.19762721041647208,0.35776627
0.0011142856,-0.2090616675879757,0.35213697
0.0011428571,-0.21945906525240572,0.34636024
0.0011714286,-0.2253672557783481,0.34065196
0.0011999999,-0.22716147822637994,0.3351769
0.0012285713,-0.22634409283127074,0.32899603
0.0012571429,-0.22212785483090422,0.32313722
0.0012857143,-0.21613073840949204,0.31923473
0.0013142856,-0.20866488564014485,0.31554043
0.0013428571,-0.19770871672479656,0.31297687
0.0013714286,-0.18321784030471017,0.3117088
0.0014,-0.1681037353148062,0.30912235
0.0014285713,-0.15070999006612476,0.3052335
0.0014571429,-0.13069678548348768,0.30268705
0.0014857143,-0.108413606256057,0.30095112
0.0015142856,-0.0857921246615595,0.29912353
0.001542857,-0.06346480159439949,0.29603508
0.0015714286,-0.041204760752447486,0.29482347
0.0016,-0.01739823277924113,0.2945876
0.0016285713,0.006299202849870289,0.2912278
0.0016571429,0.028889223090997285,0.28641775
0.0016857142,0.05102400267675283,0.28419718
0.0017142857,0.07142136292671647,0.27966446
0.001742857,0.08995190452109364,0.27289498
0.0017714286,0.10563996332404663,0.26689503
0.0018,0.12074391389428413,0.26183963
0.0018285713,0.13466520162705334,0.25675675
0.0018571428,0.1445033389485794,0.25024673
0.0018857142,0.15127645967726966,0.2438699
0.0019142857,0.15656053058185954,0.2376315
0.001942857,0.15896609282296276,0.23108347
0.0019714285,0.15998809107175027,0.22624812
0.002,0.16093588275298623,0.22314902
0.0020285714,0.1558599747391801,0.21843415
0.0020571428,0.14673069263377592,0.21385752
0.0020857144,0.13869233148090188,0.21018936
0.0021142857,0.12903797942201933,0.20622906
0.0021428568,0.1154654982762246,0.20404902
0.0021714286,0.10096649377799158,0.20270002
0.0022,0.08484851101702512,0.19997561
0.002228571,0.06751396095845796,0.19663294
0.002257143,0.05028509566371442,0.195499
0.0022857143,0.032813860083228785,0.1953537
0.0023142854,0.014374077619948411,0.19452417
0.0023428572,-0.0024104615145136843,0.19325277
0.0023714285,-0.019932093221781355,0.19259685
0.0023999999,-0.038461725862807716,0.19093306
0.0024285715,-0.05361877149051869,0.18701436
0.0024571426,-0.06697787889357165,0.18422176
0.0024857144,-0.0816300011099548,0.18535368
0.0025142857,-0.0952857397638825,0.18505678
0.0025428568,-0.10637835678207308,0.18225728
0.0025714287,-0.11442082186974584,0.18007237
0.0026,-0.11816611809067813,0.17764251
0.0026285711,-0.1221597432200816,0.17585784
0.002657143,-0.12676492547503837,0.17487736
0.0026857143,-0.12788758644613826,0.17225379
0.0027142856,-0.1257811615325844,0.16891123
0.0027428572,-0.12332112189855862,0.16892193
0.0027714283,-0.11946348984840452,0.16994892
0.0028,-0.11324345680629105,0.16862921
0.0028285715,-0.10461257368612084,0.166413
0.0028571426,-0.09382109887959487,0.16535404
0.0028857142,-0.0842484361466127,0.16560823
0.0029142858,-0.07409526467374924,0.16660218
0.0029428569,-0.060349068821985624,0.16625634
0.0029714287,-0.04575602854586047,0.16547328
0.003,-0.03354020900969201,0.16566642
0.0030285711,-0.01970733060983612,0.16477369
0.003057143,-0.0052782012532651135,0.16445561
0.003085714,0.008815995174153046,0.16497694
0.0031142856,0.02379364111333987,0.16295804
0.0031428572,0.03907037882477138,0.16131634
0.0031714283,0.05268172958752476,0.16024716
0.0032,0.06606995140812397,0.1582425
0.0032285715,0.07799208685253423,0.15530732
0.0032571426,0.08530893223759384,0.15123102
0.0032857142,0.09249753568093907,0.14785388
0.0033142858,0.10136476331210655,0.14668064
0.003342857,0.10736461173757604,0.14370349
0.0033714285,0.10873196249453665,0.13795431
0.0033999998,0.10759851891407217,0.132505
0.0034285714,0.10581788867304917,0.12749073
0.003457143,0.10183339099234257,0.12110257
0.003485714,0.09591675528223871,0.11462001
0.0035142857,0.08916717688056362,0.109445095
0.0035428572,0.08038988342122325,0.103084825
0.0035714284,0.07042015683014494,0.096408315
0.0036,0.061544402419687755,0.092117794
0.0036285713,0.05205880779735278,0.08714649
0.0036571426,0.039723262184404834,0.079502776
0.0036857142,0.028471928045286005,0.07363636
0.0037142856,0.01866096841810963,0.06925582
0.0037428571,0.00710487851867192,0.06410669
0.0037714285,-0.0029964442818368464,0.05985603
0.0037999998,-0.011692919729461265,0.0566373
0.0038285714,-0.0214731969268007,0.05382519
0.0038571425,-0.029745252767472797,0.051801942
0.003885714,-0.03467411855359623,0.04860413
0.003914286,-0.04084048453119401,0.04710821
0.003942857,-0.04873030286032405,0.05067067
0.0039714286,-0.052569097226904615,0.053161204
0.004,-0.05391562623238558,0.05513218
0.0040285713,-0.055860436682021265,0.05949023
0.004057143,-0.05529201614381236,0.062984064
0.0040857145,-0.052488320066126595,0.06678236
0.0041142856,-0.04941785291514587,0.07203159
0.004142857,-0.04536064697688223,0.07663492
0.0041714287,-0.04086837439626549,0.08188191
